BE_price,DE_price,DK_price,GB_price,NL_price,NO_price,BE_a,BE_b,DE_a,DE_b,DK_a,DK_b,GB_a,GB_b,NL_a,NL_b,NO_a,NO_b,BE_PGLmin,BE_PGLmax,DE_PGLmin,DE_PGLmax,DK_PGLmin,DK_PGLmax,GB_PGLmin,GB_PGLmax,NL_PGLmin,NL_PGLmax,NO_PGLmin,NO_PGLmax
BE,DE,DK,GB,NL,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
price,price,price,price,price,price,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max
114.6310686,114.0370003,113.63,100.6481657,113.4338757,140.5550216,0.09592152,117.5769817,0.016918845,108.2597322,0.028034489,-26.78000832,0.012993566,95.96663706,0.085171922,94.4722359,0.006672946,153.7385906,-612.8811434,389.6351351,-3199.383061,2306.411712,0,1146.691992,-2799.968349,2283.29049,-554.5972997,709.8534535,-11519.54404,3578.111011
116.5770886,115.8252774,116.27,105.533087,116.8983934,139.3583224,0.116222288,112.3895522,0.017892755,114.5451238,0.041795783,-12.06966044,0.013714888,89.51662466,0.087074398,110.1818385,0.006472434,147.8452769,-483.5111842,374.1442442,-3200.880015,2026.401802,0,710.7392392,-2253.651334,3013.607508,-632.6879142,578.8784785,-11421.14983,3132.509209
139.1791458,135.471982,138.92,122.9857514,137.9003752,139.1085,0.131716321,119.613812,0.020090261,145.054182,0.074648539,43.40144216,0.017852343,104.778797,0.082132823,126.7863872,0.007153118,154.8304764,-454.0584306,397.7438438,-3610.062159,1824.436937,-290.7052351,359.5777778,-2099.028875,2864.772072,-771.8375101,587.134034,-10822.58649,3104.5
154.9383333,159.3892011,159.92,157.4183622,159.7503135,146.42,0.159386168,176.9320374,0.019683109,152.6444334,0.062718112,136.1265532,0.015794313,138.5540435,0.103426465,149.6978382,0.006113342,156.5646936,-555.0420078,224.3333333,-3877.548852,2002.743143,-1085.225215,728.6258258,-3288.77865,3102.608509,-723.6921333,492.5119119,-12805.16398,2998.564865
172.6214258,169.9933343,169.17,141.7491763,168.9960023,147.1838345,0.159755315,177.2383351,0.019870706,171.1267109,0.067961674,196.1938017,0.022061692,130.2151735,0.09046674,172.9189951,0.006116853,158.872415,-554.7181172,270.709009,-4306.004802,1211.646547,-1443.415017,364.9944945,-2709.443233,2262.148048,-955.7047988,496.5612613,-12986.4503,2970.324825
171.3782362,173.3476664,171.18,155.3536815,176.9150256,154.5817582,0.142072922,169.6672938,0.024396806,195.5420995,0.074675824,221.0082581,0.018689992,136.6248566,0.104194504,156.3542189,0.006039288,163.214068,-597.1134098,356.4114114,-4007.534829,1024.797698,-1479.784529,226.0712713,-3050.561991,2796.413714,-750.2997418,613.5342342,-13512.69123,2962.594294
167.9103604,168.7830116,168.57,157.8120589,165.4563063,154.9153971,0.162732345,182.4143401,0.017032722,174.4027787,0.077928971,232.5048205,0.020758873,126.1235878,0.170099217,179.6717122,0.005870872,163.9075775,-560.473519,241.8792793,-5119.639089,1126.262162,-1491.773967,128.1111111,-2168.958967,2943.492192,-528.1379755,308.4291291,-13959.38947,3077.932232
167.4291479,169.8105661,169.49,160.7680729,168.2045045,160.2794052,0.170882927,178.0364497,0.022765496,199.7253921,0.085243876,202.4791082,0.021046916,136.9867898,0.119202958,181.0436405,0.005858228,169.4257266,-520.9310632,243.2453453,-4386.581169,978.0216216,-1187.646067,183.1222222,-2398.380892,2683.034434,-759.3923991,345.3585586,-14460.49271,2820.807407
165.8003316,165.3740747,164.5,155.9969039,167.1180781,160.9764865,0.177040432,178.6608834,0.016597035,173.0127297,0.091200571,194.1190103,0.025245795,131.2514685,0.085851432,170.6762096,0.005887603,169.8286079,-504.5765009,230.1877878,-5212.157765,1126.878378,-1064.242297,172.5,-1929.587893,2322.919219,-994.0207497,546.0741742,-14422.55939,2804.067568
162.8376502,160.9217784,160.91,163.4597996,161.3325275,161.2022371,0.182825976,176.2937773,0.021472108,164.3649012,0.080226617,184.6454726,0.025589966,140.3388901,0.115130349,180.5520553,0.005799316,169.7764481,-482.1354743,236.9912913,-3827.404864,1609.182783,-1150.774391,241.5567568,-2120.173862,2123.172673,-784.1201598,330.0600601,-14637.62693,2776.128128
161.6462286,163.2041259,163.06,157.7004058,161.7888971,160.4374133,0.194622996,176.1455472,0.017612649,169.8740099,0.077794658,204.9590081,0.023966652,135.4479228,0.146967765,177.9891317,0.005806095,169.2118981,-452.5301501,235.0012012,-4822.500292,966.5744745,-1317.307726,133.0915916,-2169.906013,2238.425325,-605.5379957,333.3323323,-14571.91952,2827.13994
167.7748749,168.5625276,167.73,157.5090631,166.0284164,156.2896007,0.184339315,180.9871375,0.01871857,174.6823446,0.076995002,223.8274271,0.022314359,133.5140587,0.118712507,175.9220478,0.005757611,165.4113855,-490.9075894,222.9502503,-4666.017345,903.913013,-1453.519198,38.83393393,-2242.974641,2412.664665,-740.958355,361.5983984,-14364.58502,3037.390691
163.3445946,168.952934,166.61,145.256105,168.0934174,149.3481243,0.172212384,178.508273,0.024298194,192.3948603,0.079004217,231.5050399,0.020222636,109.4221765,0.08939893,169.2834129,0.006624306,167.2200125,-518.2794316,228.7243243,-3959.036221,997.0472472,-1465.143563,25.24774775,-1925.701317,3164.14024,-946.7865717,545.3801802,-12621.70048,3263.903704
171.806245,170.3761194,170.72,167.8124896,170.915248,147.8546651,0.168226815,186.2250651,0.023106773,195.7223446,0.068047508,226.1297272,0.018855836,136.3315503,0.117081198,193.4172168,0.006616916,166.8395898,-553.4939989,231.3396396,-4235.172618,946.0412412,-1661.55774,33.50860861,-2629.727132,3064.439039,-825.9960613,325.9339339,-12607.05061,3207.815616
167.5029621,169.5760141,168.93,170.23673,169.0216485,148.6914602,0.199174009,193.4011013,0.023139905,192.0166614,0.072014584,177.4553616,0.017055401,155.1871715,0.099626272,188.9514995,0.006611469,167.04706,-485.5078789,139.3912913,-4149.037375,984.37998,-1232.079335,278.5407407,-3518.729144,2770.920721,-948.301566,359.6066066,-12633.12737,3258.785485
164.6261699,161.905034,160.99,156.7142658,160.7383092,147.0064322,0.164243935,173.7458473,0.019311631,171.870803,0.076076791,88.73963357,0.017139977,136.8514724,0.059573329,158.7742202,0.006524043,164.4932313,-528.9262197,256.9988989,-4449.92976,1557.388989,-583.2240845,324.2062062,-3146.456684,2967.293694,-1332.594828,665.4541542,-12606.69429,3351.720921
