OWPP_BE,L_BE,OWPP_DE,L_DE,OWPP_DK,L_DK,OWPP_GB,L_GB,OWPP_NL,L_NL,OWPP_NO,L_NO
BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load
0.929121171,0.673030363,0.83774932,0.609900714,0.772218551,0.591073919,0.603514133,0.589201652,0.634251998,0.547626466,0.919889503,0.678912214
0.921932054,0.64111927,0.913208659,0.579652874,0.792298565,0.60083682,0.609396486,0.577384955,0.527522593,0.524844527,0.921961326,0.671278626
0.927808231,0.613593967,0.926505748,0.556119224,0.792662974,0.60474198,0.606569901,0.573990457,0.51086713,0.503807375,0.921270718,0.663645038
0.93247646,0.608394523,0.91933318,0.543992226,0.776324245,0.605857741,0.589152024,0.571588689,0.561281649,0.49130722,0.924033149,0.65187659
0.935586402,0.592915261,0.88405987,0.545161093,0.760217402,0.60111576,0.564094729,0.574716325,0.552095003,0.485524496,0.910911602,0.651240458
0.932025551,0.592696964,0.898863525,0.54628239,0.754742602,0.60083682,0.532085561,0.555288692,0.55836881,0.484340533,0.919889503,0.645356234
0.919227709,0.602837865,0.894343825,0.544665004,0.754012555,0.591910739,0.499465241,0.546471536,0.56860109,0.486596294,0.918508287,0.636927481
0.90971995,0.62061917,0.873939672,0.543479147,0.75160759,0.60474198,0.487012987,0.53956512,0.567630144,0.499470332,0.866712707,0.644720102
0.918465143,0.640047628,0.847312744,0.55875937,0.745303047,0.625104603,0.486401833,0.575132631,0.560086638,0.522476601,0.871546961,0.633428753
0.934706688,0.669180393,0.80067468,0.594753009,0.724503753,0.650209205,0.488006112,0.546855819,0.559041004,0.557472052,0.845303867,0.639949109
0.936111357,0.700932725,0.789571939,0.641076173,0.701329857,0.654672245,0.494117647,0.53911679,0.564567929,0.560488042,0.814917127,0.655375318
0.937658592,0.715538797,0.806733698,0.672740926,0.716735563,0.660251046,0.502062643,0.566464918,0.502427366,0.530066427,0.790745856,0.669370229
0.937498342,0.735999206,0.791897291,0.707324449,0.702632066,0.674476987,0.521237586,0.601744217,0.510792442,0.511048243,0.783839779,0.66889313
0.936372176,0.741258186,0.75321783,0.703736298,0.682761112,0.665550907,0.536363636,0.640396665,0.491448204,0.499894066,0.781077348,0.670801527
0.935869325,0.708831117,0.755412177,0.682893762,0.638953437,0.666108787,0.548357525,0.668577406,0.502352678,0.50112788,0.766574586,0.676844784
0.937985721,0.691307799,0.710215177,0.661004682,0.564667246,0.662761506,0.536516425,0.681749768,0.535290164,0.517416718,0.754834254,0.672073791
0.935434994,0.691268109,0.706776275,0.658371333,0.566121705,0.668340307,0.498242934,0.691943937,0.516692808,0.556537345,0.749309392,0.685114504
0.920694266,0.713236753,0.764025808,0.683794198,0.60543433,0.686750349,0.450649351,0.718224613,0.545970573,0.614750932,0.767955801,0.690521628
0.922931126,0.767235563,0.762617496,0.735839376,0.549162906,0.749511855,0.41986249,0.780318314,0.600418254,0.684891387,0.80801105,0.690044529
0.898233942,0.787596745,0.755772443,0.753545678,0.5712842,0.723012552,0.405729565,0.815618962,0.646500859,0.681850472,0.80801105,0.687659033
0.935134388,0.767295098,0.771231127,0.732166278,0.558408619,0.673082287,0.377158136,0.789509079,0.621181567,0.656812772,0.718232044,0.703721374
0.936871712,0.73925382,0.801100449,0.699536531,0.516071504,0.647977685,0.356073338,0.744654733,0.615579954,0.633719264,0.709944751,0.702290076
