OWPP1,OWPP2,OWPP3,OWPP4,OWPP5,SF,L1,L2,L3,G1,G2,G3
OS_AC1,OS_AC3,OS_AC5,OS_AC7,OS_AC8,nAC4,nAC6,nAC9,nAC12,nAC3,nAC9,nAC12
65,90,85,30,35,25,50,40,50,,,
WPP,WPP,WPP,WPP,WPP,SF,Load,Load,Load,Slack,Slack,Slack
0.83523,0.78511,0.76005,0.35355,0.83523,0,0.82087,0.8302,0.78733,155.93,150.72,141
0.87034,0.85293,0.80941,0.36669,0.87034,0,0.85578,0.89017,0.80639,163.5,142.11,159.88
0.83161,0.79835,0.75677,0.38449,0.83161,0,0.843,0.85125,0.78288,146.74,119.92,172
0.8302,0.78039,0.78039,0.41513,0.8302,0,0.81023,0.81633,0.73197,139.39,107.22,153.62
0.8066,0.75014,0.79047,0.44836,0.8066,0,0.7743,0.73159,0.67085,131.89,101.02,151
0.82431,0.74188,0.81607,0.48648,0.82431,0,0.73923,0.71153,0.61082,129.94,74.25,149
0.89577,0.80619,0.88681,0.52368,0.89577,0,0.72649,0.66922,0.56851,121.34,94.8,148.45
0.87996,0.82717,0.86236,0.55011,0.87996,0,0.70731,0.5359,0.55309,97.3,71.67,132
0.88854,0.80857,0.84411,0.57044,0.88854,0,0.6713,0.5427,0.5618,98.12,69.93,181
0.92193,0.83896,0.91271,0.58029,0.92193,0,0.63851,0.52745,0.56706,94.88,96.05,170.9
0.92165,0.92165,0.8387,0.58396,0.92165,0,0.62259,0.52385,0.55018,78.04,87.97,153.18
0.92527,0.88826,0.86975,0.57907,0.92527,0,0.61375,0.54546,0.53315,75.43,82.99,127.2
0.92223,0.88534,0.90378,0.5589,0.92223,0,0.61014,0.5594,0.52128,67.65,83.59,132.39
0.85312,0.76781,0.76781,0.52659,0.85312,0,0.61075,0.57604,0.50682,74.37,90.76,92.34
0.86638,0.7884,0.80573,0.4958,0.86638,0,0.63286,0.58902,0.49883,91.14,103.21,81
0.88853,0.87964,0.85298,0.46547,0.88853,0.00022,0.65944,0.61685,0.51178,109.89,111.86,92
0.9036,0.84938,0.85842,0.44125,0.9036,0.00489,0.68806,0.63281,0.55243,112.74,112,93
0.87886,0.87886,0.84371,0.42727,0.87886,0.01346,0.72849,0.63256,0.59932,99.63,100,138.49
0.72206,0.67873,0.65707,0.4356,0.72206,0.02111,0.74323,0.64414,0.62372,87.15,88.32,153.76
0.45208,0.41592,0.45208,0.44935,0.45208,0.02505,0.74337,0.66408,0.63629,87.17,87.9,164
0.7521,0.70697,0.69945,0.46417,0.7521,0.02084,0.74375,0.66201,0.63979,71.93,91.79,150.02
0.81137,0.73834,0.81137,0.47028,0.81137,0.01415,0.72289,0.64452,0.62979,89.84,80.51,139.04
0.85625,0.77919,0.77919,0.47448,0.85625,0.00349,0.71246,0.65268,0.62136,83.27,78.94,129.49
0.90262,0.81235,0.90262,0.47532,0.90262,0,0.72661,0.64802,0.63398,87.76,79.93,100
0.90751,0.86214,0.90751,0.50466,0.90751,0,0.74843,0.65981,0.68166,98.24,78.68,105.89
0.90569,0.8604,0.89663,0.5424,0.90569,0,0.79239,0.70024,0.72487,101.46,78.38,136
0.9082,0.86279,0.82646,0.56975,0.9082,0,0.79258,0.68085,0.70467,96.54,74.39,164.08
0.89581,0.81519,0.85102,0.58029,0.89581,0,0.76154,0.63791,0.65463,89.32,66.98,144.24
0.92673,0.92673,0.83406,0.58984,0.92673,0,0.72293,0.63929,0.60317,62.98,59.99,112.99
0.93606,0.9267,0.87989,0.59824,0.93606,0,0.69954,0.62567,0.59183,51.25,48.8,77
0.92912,0.8455,0.90125,0.60351,0.92912,0,0.6996,0.6179,0.5892,38.8,35.9,55.5
0.92193,0.83896,0.82974,0.6094,0.92193,0,0.67303,0.62954,0.57738,11.4,24.44,34.5
0.92781,0.89997,0.90925,0.60657,0.92781,0,0.64115,0.63977,0.57399,8.79,9.3,15
0.93248,0.87653,0.83923,0.58915,0.93248,0,0.6136,0.64298,0.57159,8.85,9.1,5.11
0.93559,0.8701,0.89816,0.56409,0.93559,0,0.60839,0.63436,0.57472,3.14,4.16,1
0.93203,0.85746,0.88542,0.53209,0.93203,0,0.59294,0.63478,0.55529,-1.45,5.58,0
0.91923,0.87327,0.87327,0.49947,0.91923,0,0.5927,0.62287,0.54647,4.09,9.92,0
0.90972,0.84604,0.88243,0.48701,0.90972,0,0.60283,0.61663,0.53957,8.11,9.02,0
0.91847,0.82662,0.9001,0.4864,0.91847,0,0.6206,0.62288,0.57513,13.58,16.47,0
0.93471,0.87862,0.85993,0.48801,0.93471,0.00007,0.64006,0.64867,0.54686,50,27.08,11
0.93611,0.90803,0.91739,0.49412,0.93611,0.0058,0.6692,0.6548,0.53912,82.57,29.08,20.82
0.93766,0.84389,0.87202,0.50206,0.93766,0.01696,0.70095,0.62747,0.56646,93.78,35.22,49.5
0.9375,0.9,0.88125,0.52124,0.9375,0.02072,0.71556,0.63122,0.60174,103.87,70.19,75.71
0.93637,0.93637,0.93637,0.53636,0.93637,0.01769,0.736,0.63708,0.6404,101.69,49.08,109.28
0.93587,0.87972,0.90779,0.54836,0.93587,0.01475,0.74127,0.60929,0.66858,99,65.13,119.45
0.93799,0.93799,0.85357,0.53652,0.93799,0.01197,0.70884,0.60441,0.68175,104.29,62.19,154.4
0.93543,0.85125,0.85125,0.49824,0.93543,0.00273,0.69131,0.58904,0.69194,100,63.49,170.6
0.92069,0.88387,0.91149,0.45065,0.92069,0.00001,0.69129,0.58921,0.71822,100.89,86.29,174.58
0.92293,0.90447,0.89524,0.41986,0.92293,0,0.71325,0.61614,0.78032,116,118.04,177.41
0.89823,0.89823,0.87129,0.40573,0.89823,0,0.76724,0.67794,0.81562,122.55,122.61,214.8
0.93513,0.89773,0.93513,0.37716,0.93513,0,0.78761,0.6593,0.78951,109.32,65.62,240
0.93687,0.91813,0.84318,0.35607,0.93687,0,0.7673,0.61185,0.74465,104.23,60.98,220.48
0.94188,0.91363,0.8477,0.34629,0.94188,0,0.73925,0.58363,0.69864,98.6,60.31,185
0.93378,0.90577,0.86842,0.34736,0.93378,0,0.70904,0.57257,0.63238,99.34,69.4,179.23
0.93701,0.92764,0.9089,0.34263,0.93701,0,0.7073,0.55059,0.5748,81.29,48.89,172.9
0.92065,0.82858,0.84699,0.33904,0.92065,0,0.70133,0.56302,0.52601,75.13,75.13,99
0.89819,0.88023,0.85328,0.34591,0.89819,0,0.65789,0.57026,0.51803,64.38,64.38,95
0.93725,0.84352,0.86227,0.34217,0.93725,0,0.63832,0.59285,0.5104,60.28,60.28,81
0.92759,0.85339,0.89049,0.34079,0.92759,0,0.6211,0.61799,0.48709,39.41,39.41,64.78
0.92509,0.83258,0.86033,0.34675,0.92509,0,0.6193,0.65208,0.47527,30,47.34,49.9
0.93432,0.91563,0.91563,0.35531,0.93432,0,0.61411,0.65461,0.47763,43.99,68.99,49.37
0.93156,0.87567,0.83841,0.37166,0.93156,0,0.64898,0.66922,0.50636,86.34,107.13,59
0.92004,0.88324,0.86483,0.38273,0.92004,0,0.74206,0.66576,0.57617,160,160,83
0.92904,0.92904,0.90117,0.39969,0.92904,0.00452,0.81483,0.71257,0.69521,180,180,123.93
0.93636,0.89891,0.85209,0.41917,0.93636,0.02589,0.86672,0.74574,0.7476,177.19,177.14,170.45
0.94527,0.93582,0.92636,0.44706,0.94527,0.04881,0.88555,0.74071,0.76594,159.22,159.07,178.06
0.93283,0.91417,0.88619,0.47853,0.93283,0.07265,0.8889,0.74646,0.75628,160.78,160.57,181.14
0.92882,0.84522,0.90095,0.51276,0.92882,0.07723,0.90059,0.74019,0.74358,139.57,140.56,170
0.94405,0.84964,0.8874,0.5317,0.94405,0.06987,0.89209,0.72816,0.72765,135,137.67,156.08
0.94448,0.85948,0.9067,0.52697,0.94448,0.03119,0.87668,0.74024,0.72818,137.1,143.57,154.79
0.945,0.91665,0.91665,0.50443,0.945,0.00983,0.85855,0.71399,0.73511,149.16,151.02,151.15
0.94699,0.92805,0.90911,0.48854,0.94699,0,0.8602,0.70253,0.76805,161.26,161.96,155
0.9457,0.85113,0.88895,0.48992,0.9457,0,0.87671,0.72068,0.83227,174.11,174.34,169.16
0.94134,0.89428,0.84721,0.49771,0.94134,0,0.91995,0.75725,0.87234,182.18,182.18,195
0.92263,0.90417,0.83036,0.49213,0.92263,0,0.92905,0.72314,0.86098,171,157.7,240.16
0.94056,0.88412,0.94056,0.48396,0.94056,0,0.8934,0.67069,0.82041,160.86,145.07,250
0.92524,0.90673,0.86047,0.46043,0.92524,0,0.84449,0.64141,0.76185,139.01,134.62,249.99
0.94198,0.88546,0.86662,0.42651,0.94198,0,0.79957,0.60824,0.69902,132,83.84,228.09
0.92857,0.90999,0.92857,0.3893,0.92857,0,0.79203,0.58858,0.62775,108.31,80.59,189
0.9389,0.91073,0.8544,0.35141,0.9389,0,0.77434,0.57017,0.57266,106,106.02,165.29
0.93271,0.93271,0.84876,0.33506,0.93271,0,0.7321,0.55188,0.5677,96.74,96.71,125.76
0.94733,0.91891,0.89997,0.3249,0.94733,0,0.69154,0.55473,0.56027,95.22,95.14,115.73
0.94042,0.92162,0.8934,0.31742,0.94042,0,0.66219,0.55056,0.53935,90.28,90.36,104.89
0.92859,0.84502,0.9193,0.32238,0.92859,0,0.66203,0.55174,0.51431,95.6,95.61,86.36
0.94377,0.93433,0.87771,0.33316,0.94377,0,0.66889,0.53931,0.50792,108.6,91.02,87.27
0.94613,0.85152,0.93667,0.35218,0.94613,0,0.70218,0.56309,0.52181,138.35,134.81,94
0.9466,0.90874,0.88034,0.38732,0.9466,0,0.7866,0.64684,0.60519,156,154.73,118.5
0.94709,0.89026,0.86185,0.43568,0.94709,0.00029,0.86684,0.71127,0.71094,187.78,165.33,148.59
0.9482,0.89131,0.86287,0.48717,0.9482,0.00718,0.90154,0.74548,0.75854,184.82,156.57,179.6
0.93314,0.88648,0.90515,0.555,0.93314,0.02055,0.89813,0.73705,0.79392,158.93,151.02,176
0.92694,0.86205,0.86205,0.59343,0.92694,0.03387,0.89917,0.73981,0.80401,147.6,142.94,181.03
0.93802,0.88174,0.89112,0.60565,0.93802,0.03535,0.90568,0.8168,0.80138,141.96,140.07,156.83
0.94456,0.93512,0.869,0.59985,0.94456,0.0295,0.8965,0.75785,0.80318,142.44,139.97,147.47
0.93353,0.86818,0.91486,0.59794,0.93353,0.01588,0.90154,0.76995,0.7907,145.66,141.92,152.12
0.93656,0.88973,0.86164,0.6013,0.93656,0.00291,0.88862,0.76582,0.77616,146.48,142.42,164.5
0.94191,0.90423,0.89481,0.62857,0.94191,0.00001,0.89111,0.82731,0.77348,141.45,139.31,173.31
0.93752,0.91877,0.88127,0.65646,0.93752,0,0.89905,0.83296,0.81851,147.9,146.34,167.66
0.93567,0.87953,0.91696,0.69878,0.93567,0,0.93984,0.86747,0.84221,144.74,137.08,166.04
0.94872,0.88231,0.91078,0.70199,0.94872,0,0.93364,0.84955,0.82126,141.07,121.46,181.66
0.93358,0.93358,0.89624,0.68655,0.93358,0,0.9011,0.80144,0.7707,124.84,105.64,177.44
0.93824,0.84442,0.90071,0.65913,0.93824,0,0.84835,0.7678,0.72672,101.9,86.53,164.22
0.94262,0.92377,0.87664,0.63109,0.94262,0,0.80931,0.6878,0.65486,83.36,79.35,149.11
0.93876,0.84488,0.85427,0.60978,0.93876,0,0.79348,0.66099,0.60839,44.62,44.91,115.9
0.94006,0.93066,0.90246,0.60344,0.94006,0,0.76474,0.65481,0.59804,5.64,42.03,52.39
0.92484,0.8601,0.90634,0.60107,0.92484,0,0.7237,0.71554,0.59292,0.31,27.73,32
0.94593,0.91755,0.89863,0.58365,0.94593,0,0.68117,0.73613,0.56994,0.27,25.17,21
0.93621,0.93621,0.92685,0.57135,0.93621,0,0.65696,0.72627,0.56638,-0.08,22.57,16.23
0.94141,0.88492,0.87551,0.56631,0.94141,0,0.64602,0.71076,0.5569,-1.04,25.49,9.2
0.95005,0.94055,0.90255,0.56509,0.95005,0,0.65916,0.70154,0.56104,2.89,26.6,5
